"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.776465160E-1,3.700594306E-1,5.221762657E-1,-4.863910675E-1
5.826767770E-1,5.212331414E-1,2.434282303E-1,-6.775469780E-1
5.877071410E-1,7.834054828E-1,-3.122234344E-2,-6.236610413E-1
5.927216730E-1,9.552625418E-1,-2.834463120E-1,-5.968990326E-1
5.977519850E-1,1.039544582E0,-5.657134056E-1,-6.728935242E-1
6.027822450E-1,1.053771734E0,-7.670364380E-1,-6.576881409E-1
6.078125580E-1,1.012636781E0,-8.601069450E-1,-4.709563255E-1
6.128428700E-1,9.515235424E-1,-8.391690254E-1,-1.968855858E-1
6.178731830E-1,8.010016680E-1,-7.983946800E-1,1.215696335E-1
6.229097450E-1,5.868810415E-1,-7.333116531E-1,4.723234177E-1
6.279400580E-1,4.130027294E-1,-6.565341949E-1,8.223552704E-1
6.329703700E-1,2.449665368E-1,-5.994229317E-1,1.176760674E0
6.380006310E-1,2.030608058E-2,-5.241746902E-1,1.395647526E0
6.430309430E-1,-2.059906125E-1,-4.834871292E-1,1.523074150E0
6.480612560E-1,-3.625388145E-1,-3.942599297E-1,1.562348843E0
6.530947450E-1,-4.876009226E-1,-3.020815849E-1,1.518883228E0
6.581250580E-1,-6.235693693E-1,-1.785550117E-1,1.343410969E0
6.631553700E-1,-7.362964749E-1,-7.101964951E-2,1.124464989E0
6.681856310E-1,-7.895628810E-1,2.342319489E-2,8.928837776E-1
6.732159430E-1,-7.997323275E-1,8.375644684E-2,6.769948006E-1
6.782462560E-1,-8.192001581E-1,9.647607803E-2,5.689411163E-1
6.832704750E-1,-7.456154823E-1,1.003546715E-1,4.606189728E-1
6.883007870E-1,-6.985968351E-1,2.447938919E-2,4.040555954E-1
6.933311000E-1,-6.118236780E-1,-2.834844589E-2,4.464082718E-1
6.983614120E-1,-5.382310152E-1,-1.485710144E-1,4.252243042E-1
7.033917250E-1,-5.447425842E-1,-2.763161659E-1,4.432592392E-1
7.084220370E-1,-5.193867683E-1,-3.567843437E-1,4.407320023E-1
7.134604230E-1,-5.600667596E-1,-3.547067642E-1,4.154443741E-1
7.184907350E-1,-6.089607477E-1,-3.896932602E-1,3.866472244E-1
7.235210480E-1,-6.159846187E-1,-4.165110588E-1,4.187183380E-1
7.285513080E-1,-6.052390337E-1,-4.589662552E-1,4.660053253E-1
7.335816200E-1,-5.937173367E-1,-4.858679771E-1,5.021286011E-1
7.386119330E-1,-5.936009884E-1,-4.780101776E-1,4.675140381E-1
7.436386000E-1,-5.972524881E-1,-4.733514786E-1,4.408912659E-1
7.486689120E-1,-5.568676591E-1,-4.120693207E-1,3.244352341E-1
7.536992250E-1,-5.197703838E-1,-3.608517647E-1,1.708602905E-1
7.587294850E-1,-4.991664290E-1,-3.358464241E-1,8.235359192E-2
7.637597980E-1,-4.490768015E-1,-3.127818108E-1,1.301383972E-2
7.687901100E-1,-4.093110859E-1,-3.439912796E-1,-5.873680115E-2
7.738208910E-1,-3.889912367E-1,-3.478350639E-1,-1.831421852E-1
7.788512040E-1,-3.380608261E-1,-3.217806816E-1,-1.792864799E-1
7.838815160E-1,-3.116021156E-1,-3.206348419E-1,-1.908740997E-1
7.889118290E-1,-2.952982187E-1,-3.084120750E-1,-2.297849655E-1
7.939421410E-1,-2.676133215E-1,-2.992000580E-1,-2.531962395E-1
7.989724540E-1,-2.381457835E-1,-2.261772156E-1,-3.089194298E-1
8.040002660E-1,-2.406007946E-1,-2.089147568E-1,-3.252086639E-1
8.090305790E-1,-2.250461876E-1,-1.732993126E-1,-3.070406914E-1
8.140608910E-1,-2.204413861E-1,-1.290531158E-1,-3.116688728E-1
8.190911520E-1,-2.009526789E-1,-1.241664886E-1,-2.339568138E-1
8.241214640E-1,-1.885434687E-1,-1.113429070E-1,-1.358828545E-1
8.291517770E-1,-1.528113484E-1,-7.902956009E-2,-8.874034882E-2
8.341791200E-1,-1.226350814E-1,-4.215764999E-2,-9.658241272E-2
8.392094330E-1,-7.657071948E-2,-8.182525635E-3,-5.174541473E-2
8.442397450E-1,-2.800062299E-3,-1.553058624E-2,-3.048610687E-2
8.492700060E-1,3.676301241E-2,-9.545803070E-3,-1.470565796E-3
8.543003180E-1,7.817716897E-2,-1.667976379E-2,9.181022644E-3
8.593306310E-1,1.424944848E-1,-2.971315384E-2,-4.602909088E-2
8.643680790E-1,2.127562612E-1,-6.756210327E-2,-4.297065735E-2
8.693983910E-1,2.294327468E-1,-3.477907181E-2,-1.058549881E-1
8.744287040E-1,2.432300597E-1,-2.922630310E-2,-1.868104935E-1
8.794589640E-1,3.234173656E-1,-7.675695419E-2,-2.453861237E-1
8.844892770E-1,3.673678041E-1,-8.150053024E-2,-2.914614677E-1
8.895195890E-1,3.920535445E-1,-7.700681686E-2,-3.727731705E-1
8.945468290E-1,4.668190479E-1,-1.299223900E-1,-4.772782326E-1
8.995771410E-1,5.058482885E-1,-1.705808640E-1,-5.073943138E-1
9.046074540E-1,5.090119243E-1,-1.845483780E-1,-4.779887199E-1
9.096377140E-1,5.457767844E-1,-1.649675369E-1,-5.250701904E-1
9.146680270E-1,5.658761263E-1,-1.475358009E-1,-6.030964851E-1
9.196983390E-1,5.908852220E-1,-1.415877342E-1,-6.262717247E-1
9.247306310E-1,6.160905957E-1,-1.468811035E-1,-6.807770729E-1
9.297609430E-1,6.965677738E-1,-1.372017860E-1,-7.211494446E-1
9.347912560E-1,7.393208742E-1,-1.459393501E-1,-6.903324127E-1
9.398215160E-1,7.825920582E-1,-1.399059296E-1,-6.719121933E-1
9.448518290E-1,8.524708748E-1,-1.431450844E-1,-6.323695183E-1
9.498821410E-1,8.701852560E-1,-1.461219788E-1,-5.622539520E-1
9.548993810E-1,9.025152922E-1,-1.417651176E-1,-5.426726341E-1
9.599296930E-1,8.944537044E-1,-7.319116592E-2,-4.469079971E-1
9.649599540E-1,8.603278399E-1,-4.087448120E-2,-4.039731026E-1
9.699902660E-1,8.073191047E-1,1.005029678E-2,-3.991975784E-1
9.750205790E-1,6.921668053E-1,3.656053543E-2,-3.322720528E-1
