"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.697190998E1,6.502260497E1,2.549267505E1,1.054673709E1,1.059999943E0,2.693999939E2,3.790092468E0,2.500000000E0
6.798523612E1,6.502260546E1,2.549265260E1,1.039494070E1,1.049999952E0,2.743999939E2,3.790092468E0,2.500000000E0
6.898721763E1,6.502260648E1,2.549263201E1,1.049125218E1,1.029999971E0,2.762000122E2,3.790092468E0,2.500000000E0
6.998509200E1,6.502260777E1,2.549260815E1,1.058615949E1,1.080000043E0,2.763999939E2,3.790092468E0,2.500000000E0
7.097104299E1,6.502260864E1,2.549258464E1,1.069827890E1,1.080000043E0,2.742999878E2,3.790092468E0,2.500000000E0
7.198236122E1,6.502260847E1,2.549256286E1,1.075870204E1,1.059999943E0,2.675000000E2,3.790092468E0,2.500000000E0
7.298673648E1,6.502260949E1,2.549254068E1,1.101529171E1,1.039999962E0,2.730000000E2,3.790092468E0,2.500000000E0
7.398552742E1,6.502261082E1,2.549251954E1,1.097061182E1,1.000000000E0,2.761000061E2,3.790092468E0,2.500000000E0
7.498160799E1,6.502261123E1,2.549249800E1,1.087032920E1,1.000000000E0,2.722999878E2,3.790092468E0,2.500000000E0
7.598541242E1,6.502261190E1,2.549247689E1,1.106466323E1,9.900000095E-1,2.755000000E2,3.790092468E0,2.500000000E0
7.698951810E1,6.502261315E1,2.549245790E1,1.060158754E1,9.900000095E-1,2.736000061E2,3.790092468E0,2.500000000E0
7.798922304E1,6.502261345E1,2.549243856E1,1.059279684E1,9.900000095E-1,2.657999878E2,3.790092468E0,2.500000000E0
7.897805716E1,6.502261492E1,2.549241902E1,1.058205257E1,1.029999971E0,2.727000122E2,3.790092468E0,2.500000000E0
7.998743882E1,6.502261764E1,2.549239886E1,1.043861737E1,1.019999981E0,2.780000000E2,3.790092468E0,2.500000000E0
8.097300778E1,6.502262086E1,2.549237874E1,1.018550183E1,1.009999990E0,2.772000122E2,3.790092468E0,2.500000000E0
8.198581757E1,6.502262180E1,2.549235735E1,1.029218924E1,1.039999962E0,2.751000061E2,3.790092468E0,2.500000000E0
8.298312231E1,6.502262200E1,2.549233535E1,1.005476067E1,1.049999952E0,2.727999878E2,3.790092468E0,2.500000000E0
8.397564216E1,6.502262251E1,2.549231365E1,9.994761207E0,1.029999971E0,2.737999878E2,3.790092468E0,2.500000000E0
